Country,Country Code,population_total,gdp_ppp_current_intl,trade_pct_gdp,military_expenditure_pct_gdp,co2_tonnes_per_capita,democracy_index,HDI
Sri Lanka,LKA,21916000.0,342603896900.92706,42.39750087110473,1.64003079587098,,6.19,0.776
Lesotho,LSO,2337423.0,7008693666.191497,141.51375553510815,1.53626292759206,,6.06,0.55
Lithuania,LTU,2888055.0,157150520997.22015,143.04839086337967,2.71567834515769,,7.59,0.895
Luxembourg,LUX,677717.0,102180990717.51224,398.2279309595213,0.7490545294635,,8.88,0.922
Latvia,LVA,1862441.0,81699623488.00851,131.8037768636733,2.26754267524368,,7.66,0.889
"Macao SAR, China",MAC,687000.0,88119857289.24492,135.12127027576528,,,,
St. Martin (French part),MAF,26129.0,,,,,,
Morocco,MAR,38081173.0,398513761721.1168,95.75765493271103,3.63868518644989,,4.97,0.71
Monaco,MCO,38631.0,,,,,,
Moldova,MDA,2389275.0,44718897540.02146,88.66611542868309,0.546678815870651,,6.04,0.785
Madagascar,MDG,31964956.0,60207191110.52547,54.97144868196835,0.662961133220886,,5.33,0.487
Maldives,MDV,527799.0,14009213969.332138,150.03236994907965,,,,0.766
Mexico,MEX,130861007.0,3361570175385.558,74.71159560586912,0.656934513100098,,5.32,0.789
Marshall Islands,MHL,37548.0,307823221.2689948,110.17223293482452,,,,0.733
North Macedonia,MKD,1792179.0,47648721475.201,138.47814059363162,1.69895545621264,,6.28,0.815
Mali,MLI,24478595.0,80991580402.85226,50.900282866009285,3.82768546750975,,2.4,0.419
Malta,MLT,574346.0,38690348766.40935,229.54828001491657,0.5586440181308749,,7.93,0.924
Myanmar,MMR,54500091.0,326862397165.7545,,3.7885823650653,,0.96,0.609
Montenegro,MNE,623831.0,20823256231.779644,112.4227919543629,1.63424966016394,,6.73,0.862
Mongolia,MNG,3524788.0,67315454531.64356,138.89146309387505,0.60144199287179,,6.53,0.747
Northern Mariana Islands,MNP,44278.0,,93.15693430656934,,,,
Mozambique,MOZ,34631766.0,58863787008.291695,95.67181146162692,1.73193242255364,,3.38,0.493
Mauritania,MRT,5169395.0,37588430731.72669,91.47057158735386,2.54863177213623,,3.96,0.563
Mauritius,MUS,1259509.0,39108930779.909775,103.99759084058336,0.152776819903266,,8.23,0.806
Malawi,MWI,21655286.0,40266877390.59199,,1.01087787932399,,5.85,0.517
Malaysia,MYS,35557673.0,1377111092000.8662,137.36634120583136,0.929671716200106,,7.11,0.819
Namibia,NAM,3030131.0,35411935194.17708,109.62850979853155,2.73954354378882,,6.48,0.665
New Caledonia,NCL,292639.0,,58.92818262212835,,,,
Niger,NER,27032412.0,54470927080.19925,51.96835093493676,2.07013590428489,,2.26,0.419
Nigeria,NGA,232679478.0,1498412309012.0586,26.166512865529874,0.807331105535844,,4.16,0.56
Nicaragua,NIC,6916140.0,60231278859.82674,98.52583771001588,0.545988464666081,,2.09,0.706
Netherlands,NLD,17994237.0,1515446904606.0105,156.17366845513902,1.53256247074407,,9.0,0.955
Norway,NOR,5572272.0,562975486235.5125,81.22214582611107,1.60728115834895,,9.81,0.97
Nepal,NPL,29651054.0,170096869228.54248,40.52982267719089,1.07668555382218,,4.6,0.622
Nauru,NRU,11947.0,171162307.25924343,158.1915969392316,,,,0.703
New Zealand,NZL,5338500.0,294116842342.8655,50.40643167905132,1.21763772932874,,9.61,0.938
Oman,OMN,5281538.0,220050947267.55103,105.91670780437607,5.404266351238031,,3.05,0.858
Pakistan,PAK,251269164.0,1579724190316.8943,27.4780864831866,2.80148810180165,,2.84,0.544
Panama,PAN,4515577.0,186966392940.24225,89.53306838378505,0.974136501313688,,6.84,0.839
Peru,PER,34217848.0,609160441707.4075,51.47588786781423,1.12118291334721,,5.69,0.794
Philippines,PHL,115843670.0,1366276178143.493,65.88547252869684,1.2494955502556602,,6.63,0.72
Palau,PLW,17695.0,310784315.6186825,87.73756206691078,,,,0.786
Papua New Guinea,PNG,10576502.0,51703809951.00702,131.0829110162487,0.313337015687892,,5.97,0.576
Poland,POL,36554707.0,1841555375507.1448,100.65014138165137,3.8327285389822303,,7.4,0.906
Puerto Rico (US),PRI,3203295.0,160662993787.14386,94.77525299682536,,,,
"Korea, Dem. People's Rep.",PRK,26498823.0,,,,,1.08,
Portugal,PRT,10701636.0,541680354802.5604,91.1410312778576,1.51929712406409,,8.08,0.89
Paraguay,PRY,6929153.0,128353419878.21233,76.831156543053,0.906254792632729,,5.92,0.756
West Bank and Gaza,PSE,5289152.0,23119472384.41724,81.31368015695313,,,3.44,0.674
French Polynesia,PYF,281807.0,,68.70809252236835,,,,
Qatar,QAT,2857822.0,360400243355.5731,100.21364719961772,6.962166118537249,,3.17,0.886
Romania,ROU,19069340.0,928908990262.028,77.2918515027171,1.6138952949923802,,5.99,0.845
Russian Federation,RUS,143533851.0,6921249292202.154,39.508164766039634,5.86418887229231,,2.03,0.832
Rwanda,RWA,14256567.0,52904129982.20523,69.95441356805613,1.26615243356263,,3.34,0.578
Saudi Arabia,SAU,35300280.0,2514913068784.3945,54.80448471869877,7.086386302249879,,2.08,0.9
Sudan,SDN,50448963.0,107325139957.42673,2.461522858350236,0.9159187570581432,,1.46,0.511
Senegal,SEN,18501984.0,94552533446.06404,71.1988886117514,1.46776048919388,,5.93,0.53
Singapore,SGP,6036860.0,909690217412.8812,322.3714279347164,2.65866567626877,,6.18,0.946
Solomon Islands,SLB,819198.0,2353128856.82257,78.03593095620181,,,,0.584
Sierra Leone,SLE,8642022.0,30381570304.572803,64.47779689923524,0.5604373470119429,,4.32,0.467
El Salvador,SLV,6338193.0,84069963659.78392,84.6596461582312,1.28386195281933,,4.61,0.678
San Marino,SMR,33977.0,2563404991.8788424,370.4360718134137,,,,0.915
Somalia,SOM,19009151.0,30429157389.60728,94.36029410877192,1.52999213555444,,,0.404
Serbia,SRB,6587202.0,209915940223.31967,111.46095841234704,2.85324638561608,,6.26,0.833
South Sudan,SSD,11943408.0,12827976279.327291,65.55134918450028,6.25617734436131,,,0.388
Sao Tome and Principe,STP,235536.0,1467273474.7186322,,,,,0.637
Suriname,SUR,634431.0,13999818895.38173,90.9613941465855,,,6.79,0.722
Slovak Republic,SVK,5422069.0,255817817489.38043,170.24443570757404,2.01653474902229,,7.21,0.88
Slovenia,SVN,2126324.0,120202434629.02583,156.48245698678633,1.33665006488574,,7.82,0.931
Sweden,SWE,10569709.0,750771294152.1144,104.81099427173592,1.47341062942458,,9.39,0.959
Eswatini,SWZ,1242822.0,14645762517.366098,100.09323637196644,1.56832126015003,,2.6,0.695
Sint Maarten (Dutch part),SXM,43350.0,2257875752.0746284,,,,,
Seychelles,SYC,121354.0,4033634641.491586,188.3691852974113,1.70691302906347,,,0.848
Syrian Arab Republic,SYR,24672760.0,109716574910.85344,35.60946807999561,4.05614173609585,,1.32,0.564
Turks and Caicos Islands,TCA,46535.0,1766207429.4950433,,,,,
Chad,TCD,20299123.0,60124620441.280846,45.362629821362695,2.90849870783417,,1.89,0.416
Togo,TGO,9515236.0,30820719452.20569,62.47424365959111,4.0148128777457295,,2.99,0.571
